32,Sword Art Online: Alicization - War of Underworld,Action,Adventure,Fantasy
33,D.Gray-man,Action,Adventure,Comedy
34,Nanatsu no Taizai: Kamigami no Gekirin,Action,Adventure,Fantasy
36,Blood Lad,Action,Comedy,Supernatural
40,Claymore,Action,Adventure,Fantasy
41,Shinmai Maou no Testament,Action,Fantasy,Romance
42,Yuu☆Yuu☆Hakusho,Action,Comedy,Supernatural
43,Gakusen Toshi Asterisk,Action,Comedy,Fantasy
44,Psycho-Pass 2,Action,Sci-Fi,Suspense
45,Tate no Yuusha no Nariagari Season 2,Action,Adventure,Drama
46,Strike the Blood,Action,Fantasy,Supernatural
47,IS: Infinite Stratos,Action,Comedy,Sci-Fi
48,Kore wa Zombie Desu ka?,Action,Comedy,Supernatural
49,Rokka no Yuusha,Action,Adventure,Fantasy
50,Arifureta Shokugyou de Sekai Saikyou,Action,Adventure,Fantasy
51,Dragon Ball GT,Action,Adventure,Comedy
52,Pokemon,Action,Adventure,Comedy
53,Inuyashiki,Action,Drama,Sci-Fi
54,Tensei shitara Slime Datta Ken 2nd Season Part 2,Action,Adventure,Comedy
55,Log Horizon 2nd Season,Action,Adventure,Fantasy
57,86,Action,Drama,Sci-Fi
59,Zetsuen no Tempest,Action,Drama,Fantasy
61,Great Pretender,Action,Adventure,Mystery
62,Kenpuu Denki Berserk,Action,Adventure,Drama
63,Beelzebub,Action,Comedy,Supernatural
64,Gintama°,Action,Comedy,Sci-Fi
65,Ajin,Action,Horror,Mystery
66,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,Action,Comedy,Fantasy
67,Hunter x Hunter,Action,Adventure,Fantasy
68,The Last: Naruto the Movie,Action,Adventure,Fantasy
70,Kuroshitsuji II,Action,Comedy,Supernatural
71,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,Action,Adventure,Comedy
73,Katanagatari,Action,Adventure,Romance
74,Sword Art Online: Alicization - War of Underworld 2nd Season,Action,Adventure,Fantasy
75,Absolute Duo,Action,Romance,Supernatural
76,Bungou Stray Dogs 3rd Season,Action,Mystery,Supernatural
77,Shakugan no Shana,Action,Drama,Fantasy
78,God Eater,Action,Fantasy,Sci-Fi
79,Drifters,Action,Adventure,Comedy
80,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",Action,Adventure,Fantasy
81,Evangelion: 1.0 You Are (Not) Alone,Action,Drama,Sci-Fi
82,Kenja no Mago,Action,Comedy,Fantasy
83,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,Action,Adventure,Comedy
84,Musaigen no Phantom World,Action,Comedy,Fantasy
86,Gintama',Action,Comedy,Sci-Fi
88,Ichiban Ushiro no Daimaou,Action,Comedy,Fantasy
89,Evangelion: 2.0 You Can (Not) Advance,Action,Drama,Sci-Fi
90,Darwin's Game,Action,Mystery,Sci-Fi
92,Zero no Tsukaima: Futatsuki no Kishi,Action,Adventure,Comedy
94,Sousei no Onmyouji,Action,Fantasy,Romance
96,Full Metal Panic!,Action,Comedy,Sci-Fi
98,Rurouni Kenshin: Meiji Kenkaku Romantan,Action,Adventure,Comedy
99,Dorohedoro,Action,Comedy,Fantasy
0,Fullmetal Alchemist: Brotherhood,Action,Adventure,Drama
1,Sword Art Online,Action,Adventure,Fantasy
2,Naruto,Action,Adventure,Fantasy
3,Hunter x Hunter (2011),Action,Adventure,Fantasy
4,Naruto: Shippuuden,Action,Adventure,Fantasy
5,One Piece,Action,Adventure,Fantasy
6,Nanatsu no Taizai,Action,Adventure,Fantasy
7,Sword Art Online II,Action,Adventure,Fantasy
8,Kono Subarashii Sekai ni Shukufuku wo!,Adventure,Comedy,Fantasy
9,Bleach,Action,Adventure,Fantasy
10,Sen to Chihiro no Kamikakushi,Adventure,AwardWinning,Supernatural
